,event_number,event_name,event_date,venue,audience_size,city,state,country,event_day,event_month,event_year,event_dayname
463,464,UFC Fight Night: Cejudo vs. Dillashaw,2019-01-19,Barclays Center,12152.0,Brooklyn,New York,U.S.,19,1,2019,Saturday
464,465,UFC Fight Night: Assunção vs. Moraes 2,2019-02-02,Centro de Formação Olímpica do Nordeste,10040.0,Fortaleza,Brazil,,2,2,2019,Saturday
465,466,UFC 234: Adesanya vs. Silva,2019-02-10,Rod Laver Arena,15238.0,Melbourne,Australia,,10,2,2019,Sunday
466,467,UFC on ESPN: Ngannou vs. Velasquez,2019-02-17,Talking Stick Resort Arena,14269.0,Phoenix,Arizona,U.S.,17,2,2019,Sunday
467,468,UFC Fight Night: Błachowicz vs. Santos,2019-02-23,O2 arena,16583.0,Prague,Czech Republic,,23,2,2019,Saturday
468,469,UFC 235: Jones vs. Smith,2019-03-02,T-Mobile Arena,14790.0,Las Vegas,Nevada,U.S,2,3,2019,Saturday
469,470,UFC Fight Night: Lewis vs. dos Santos,2019-03-09,Intrust Bank Arena,7265.0,Wichita,Kansas,U.S.,9,3,2019,Saturday
470,471,UFC Fight Night: Till vs. Masvidal,2019-03-16,The O2 Arena,16602.0,London,England,U.K.,16,3,2019,Saturday
471,472,UFC Fight Night: Thompson vs. Pettis,2019-03-23,Bridgestone Arena,10863.0,Nashville,Tennessee,U.S.,23,3,2019,Saturday
472,473,UFC on ESPN: Barboza vs. Gaethje,2019-03-30,Wells Fargo Center,11123.0,Philadelphia,Pennsylvania,U.S.,30,3,2019,Saturday
473,474,UFC 236: Holloway vs. Poirier 2,2019-04-13,State Farm Arena,14297.0,Atlanta,Georgia,U.S.,13,4,2019,Saturday
474,475,UFC Fight Night: Overeem vs. Oleinik,2019-04-20,Yubileyny Sports Palace,7236.0,Saint Petersburg,Russia,,20,4,2019,Saturday
475,476,UFC Fight Night: Jacaré vs. Hermansson,2019-04-27,BB&T Center,12754.0,Sunrise,Florida,U.S.,27,4,2019,Saturday
476,477,UFC Fight Night: Iaquinta vs. Cowboy,2019-05-04,Canadian Tire Centre,10960.0,Ottawa,Ontario,Canada,4,5,2019,Saturday
477,478,UFC 237: Namajunas vs. Andrade,2019-05-11,Jeunesse Arena,15193.0,Rio de Janeiro,Brazil,,11,5,2019,Saturday
478,479,UFC Fight Night: dos Anjos vs. Lee,2019-05-18,Blue Cross Arena,8132.0,Rochester,New York,U.S.,18,5,2019,Saturday
479,480,UFC Fight Night: Gustafsson vs. Smith,2019-06-01,Ericsson Globe,14319.0,Stockholm,Sweden,,1,6,2019,Saturday
480,481,UFC 238: Cejudo vs. Moraes,2019-06-08,United Center,16083.0,Chicago,Illinois,U.S.,8,6,2019,Saturday
481,482,UFC Fight Night: Moicano vs. The Korean Zombie,2019-06-22,Bon Secours Wellness Arena,7682.0,Greenville,South Carolina,U.S.,22,6,2019,Saturday
482,483,UFC on ESPN: Ngannou vs. dos Santos,2019-06-29,Target Center,10123.0,Minneapolis,Minnesota,U.S.,29,6,2019,Saturday
483,484,UFC 239: Jones vs. Santos,2019-07-06,T-Mobile Arena,18358.0,Las Vegas,Nevada,U.S.,6,7,2019,Saturday
484,485,UFC Fight Night: de Randamie vs. Ladd,2019-07-13,Golden 1 Center,10306.0,Sacramento,California,U.S.,13,7,2019,Saturday
485,486,UFC on ESPN: dos Anjos vs. Edwards,2019-07-20,AT&T Center,9255.0,San Antonio,Texas,U.S.,20,7,2019,Saturday
486,487,UFC 240: Holloway vs. Edgar,2019-07-27,Rogers Place,12144.0,Edmonton,Alberta,Canada,27,7,2019,Saturday
487,488,UFC on ESPN: Covington vs. Lawler,2019-08-03,Prudential Center,10427.0,Newark,New Jersey,U.S.,3,8,2019,Saturday
488,489,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Antel Arena,9225.0,Montevideo,Uruguay,,10,8,2019,Saturday
489,490,UFC 241: Cormier vs. Miocic 2,2019-08-17,Honda Center,17304.0,Anaheim,California,U.S.,17,8,2019,Saturday
490,491,UFC Fight Night: Andrade vs. Zhang,2019-08-31,Shenzhen Universiade Sports Centre,10302.0,Shenzhen,China,,31,8,2019,Saturday
491,492,UFC 242: Khabib vs. Poirier,2019-09-07,"The Arena, Yas Island",,Abu Dhabi,United Arab Emirates,,7,9,2019,Saturday
492,493,UFC Fight Night: Cowboy vs. Gaethje,2019-09-14,Rogers Arena,15114.0,Vancouver,British Columbia,Canada,14,9,2019,Saturday
493,494,UFC Fight Night: Rodríguez vs. Stephens,2019-09-21,Arena Ciudad de México,10112.0,Mexico City,Mexico,,21,9,2019,Saturday
494,495,UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Royal Arena,12767.0,Copenhagen,Denmark,,28,9,2019,Saturday
495,496,UFC 243: Whittaker vs. Adesanya,2019-10-05,Marvel Stadium,57127.0,Melbourne,Australia,,5,10,2019,Saturday
496,497,UFC Fight Night: Joanna vs. Waterson,2019-10-12,Amalie Arena,10597.0,Tampa,Florida,U.S.,12,10,2019,Saturday
497,498,UFC on ESPN: Reyes vs. Weidman,2019-10-18,TD Garden,12066.0,Boston,Massachusetts,U.S.,18,10,2019,Friday
498,499,UFC Fight Night: Maia vs. Askren,2019-10-26,Singapore Indoor Stadium,7155.0,Kallang,Singapore,,26,10,2019,Saturday
499,500,UFC 244: Masvidal vs. Diaz,2019-11-02,Madison Square Garden,20143.0,New York City,New York,U.S.,2,11,2019,Saturday
500,501,UFC Fight Night: Magomedsharipov vs. Kattar,2019-11-09,CSKA Arena,11305.0,Moscow,Russia,,9,11,2019,Saturday
501,502,UFC Fight Night: Błachowicz vs. Jacaré,2019-11-16,Ginásio do Ibirapuera,10344.0,São Paulo,Brazil,,16,11,2019,Saturday
502,503,UFC on ESPN: Overeem vs. Rozenstruik,2019-12-07,Capital One Arena,10816.0,Washington,D.C.,U.S.,7,12,2019,Saturday
503,504,UFC 245: Usman vs. Covington,2019-12-14,T-Mobile Arena,16811.0,Las Vegas,Nevada,U.S.,14,12,2019,Saturday
504,505,UFC Fight Night: Edgar vs. The Korean Zombie,2019-12-21,Sajik Arena,10651.0,Busan,South Korea,,21,12,2019,Saturday
505,506,UFC 246: McGregor vs. Cowboy,2020-01-18,T-Mobile Arena,19040.0,Las Vegas,Nevada,U.S.,18,1,2020,Saturday
506,507,UFC Fight Night: Blaydes vs. dos Santos,2020-01-25,PNC Arena,14533.0,Raleigh,North Carolina,U.S.,25,1,2020,Saturday
507,508,UFC 247: Jones vs. Reyes,2020-02-08,Toyota Center,17401.0,Houston,Texas,U.S.,8,2,2020,Saturday
508,509,UFC Fight Night: Anderson vs. Błachowicz 2,2020-02-15,Santa Ana Star Center,6449.0,Rio Rancho,New Mexico,U.S.,15,2,2020,Saturday
509,510,UFC Fight Night: Felder vs. Hooker,2020-02-23,Spark Arena,10025.0,Auckland,New Zealand,,23,2,2020,Sunday
510,511,UFC Fight Night: Benavidez vs. Figueiredo,2020-02-29,Chartway Arena,7098.0,Norfolk,Virginia,U.S.,29,2,2020,Saturday
511,512,UFC 248: Adesanya vs. Romero,2020-03-07,T-Mobile Arena,15077.0,Las Vegas,Nevada,U.S.,7,3,2020,Saturday
512,513,UFC Fight Night: Lee vs. Oliveira,2020-03-14,Ginásio Nilson Nelson,0.0,Brasília,Brazil,,14,3,2020,Saturday
513,514,UFC 249: Ferguson vs. Gaethje,2020-05-09,VyStar Veterans Memorial Arena,0.0,Jacksonville,Florida,U.S.,9,5,2020,Saturday
514,515,UFC Fight Night: Smith vs. Teixeira,2020-05-13,VyStar Veterans Memorial Arena,0.0,Jacksonville,Florida,U.S.,13,5,2020,Wednesday
515,516,UFC on ESPN: Overeem vs. Harris,2020-05-16,VyStar Veterans Memorial Arena,0.0,Jacksonville,Florida,U.S.,16,5,2020,Saturday
516,517,UFC on ESPN: Woodley vs. Burns,2020-05-30,UFC Apex,0.0,Las Vegas,Nevada,U.S.,30,5,2020,Saturday
517,518,UFC 250: Nunes vs. Spencer,2020-06-06,UFC Apex,0.0,Las Vegas,Nevada,U.S.,6,6,2020,Saturday
518,519,UFC on ESPN: Eye vs. Calvillo,2020-06-13,UFC Apex,0.0,Las Vegas,Nevada,U.S.,13,6,2020,Saturday
519,520,UFC on ESPN: Blaydes vs. Volkov,2020-06-20,UFC Apex,0.0,Las Vegas,Nevada,U.S.,20,6,2020,Saturday
520,521,UFC on ESPN: Poirier vs. Hooker,2020-06-27,UFC Apex,0.0,Las Vegas,Nevada,U.S.,27,6,2020,Saturday
521,522,UFC 251: Usman vs. Masvidal,2020-07-12,du Forum,0.0,Abu Dhabi,United Arab Emirates,,12,7,2020,Sunday
522,523,UFC on ESPN: Kattar vs. Ige,2020-07-16,du Forum,0.0,Abu Dhabi,United Arab Emirates,,16,7,2020,Thursday
523,524,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-19,du Forum,0.0,Abu Dhabi,United Arab Emirates,,19,7,2020,Sunday
524,525,UFC on ESPN: Whittaker vs. Till,2020-07-26,du Forum,0.0,Abu Dhabi,United Arab Emirates,,26,7,2020,Sunday
525,526,UFC Fight Night: Brunson vs. Shahbazyan,2020-08-01,UFC Apex,0.0,Las Vegas,Nevada,U.S.,1,8,2020,Saturday
526,527,UFC Fight Night: Lewis vs. Oleinik,2020-08-08,UFC Apex,0.0,Las Vegas,Nevada,U.S.,8,8,2020,Saturday
527,528,UFC 252: Miocic vs. Cormier 3,2020-08-15,UFC Apex,0.0,Las Vegas,Nevada,U.S.,15,8,2020,Saturday
528,529,UFC on ESPN: Munhoz vs. Edgar,2020-08-22,UFC Apex,0.0,Las Vegas,Nevada,U.S.,22,8,2020,Saturday
529,530,UFC Fight Night: Smith vs. Rakić,2020-08-29,UFC Apex,0.0,Las Vegas,Nevada,U.S.,29,8,2020,Saturday
530,531,UFC Fight Night: Overeem vs. Sakai,2020-09-05,UFC Apex,0.0,Las Vegas,Nevada,U.S.,5,9,2020,Saturday
531,532,UFC Fight Night: Waterson vs. Hill,2020-09-12,UFC Apex,0.0,Las Vegas,Nevada,U.S.,12,9,2020,Saturday
532,533,UFC Fight Night: Covington vs. Woodley,2020-09-19,UFC Apex,0.0,Las Vegas,Nevada,U.S.,19,9,2020,Saturday
533,534,UFC 253: Adesanya vs. Costa,2020-09-27,du Forum,0.0,Abu Dhabi,United Arab Emirates,,27,9,2020,Sunday
534,535,UFC on ESPN: Holm vs. Aldana,2020-10-04,du Forum,0.0,Abu Dhabi,United Arab Emirates,,4,10,2020,Sunday
535,536,UFC Fight Night: Moraes vs. Sandhagen,2020-10-11,du Forum,0.0,Abu Dhabi,United Arab Emirates,,11,10,2020,Sunday
536,537,UFC Fight Night: Ortega vs. The Korean Zombie,2020-10-18,du Forum,0.0,Abu Dhabi,United Arab Emirates,,18,10,2020,Sunday
537,538,UFC 254: Khabib vs. Gaethje,2020-10-24,du Forum,0.0,Abu Dhabi,United Arab Emirates,,24,10,2020,Saturday
538,539,UFC Fight Night: Hall vs. Silva,2020-10-31,UFC Apex,0.0,Las Vegas,Nevada,U.S.,31,10,2020,Saturday
539,540,UFC on ESPN: Santos vs. Teixeira,2020-11-07,UFC Apex,0.0,Las Vegas,Nevada,U.S.,7,11,2020,Saturday
540,541,UFC Fight Night: Felder vs. dos Anjos,2020-11-14,UFC Apex,0.0,Las Vegas,Nevada,U.S.,14,11,2020,Saturday
541,542,UFC 255: Figueiredo vs. Perez,2020-11-21,UFC Apex,0.0,Las Vegas,Nevada,U.S.,21,11,2020,Saturday
542,543,UFC on ESPN: Smith vs. Clark,2020-11-28,UFC Apex,0.0,Las Vegas,Nevada,U.S.,28,11,2020,Saturday
543,544,UFC on ESPN: Hermansson vs. Vettori,2020-12-05,UFC Apex,0.0,Las Vegas,Nevada,U.S.,5,12,2020,Saturday
544,545,UFC 256: Figueiredo vs. Moreno,2020-12-12,UFC Apex,0.0,Las Vegas,Nevada,U.S.,12,12,2020,Saturday
545,546,UFC Fight Night: Thompson vs. Neal,2020-12-19,UFC Apex,0.0,Las Vegas,Nevada,U.S.,19,12,2020,Saturday
546,547,UFC on ABC: Holloway vs. Kattar,2021-01-16,Etihad Arena,2000.0,Abu Dhabi,United Arab Emirates,,16,1,2021,Saturday
547,548,UFC on ESPN: Chiesa vs. Magny,2021-01-20,Etihad Arena,2000.0,Abu Dhabi,United Arab Emirates,,20,1,2021,Wednesday
548,549,UFC 257: Poirier vs. McGregor 2,2021-01-24,Etihad Arena,2600.0,Abu Dhabi,United Arab Emirates,,24,1,2021,Sunday
549,550,UFC Fight Night: Overeem vs. Volkov,2021-02-06,UFC Apex,0.0,Las Vegas,Nevada,U.S.,6,2,2021,Saturday
550,551,UFC 258: Usman vs. Burns,2021-02-13,UFC Apex,0.0,Las Vegas,Nevada,U.S.,13,2,2021,Saturday
551,552,UFC Fight Night: Blaydes vs. Lewis,2021-02-20,UFC Apex,0.0,Las Vegas,Nevada,U.S.,20,2,2021,Saturday
552,553,UFC Fight Night: Rozenstruik vs. Gane,2021-02-27,UFC Apex,0.0,Las Vegas,Nevada,U.S.,27,2,2021,Saturday
553,554,UFC 259: Błachowicz vs. Adesanya,2021-03-06,UFC Apex,0.0,Las Vegas,Nevada,U.S.,6,3,2021,Saturday
554,555,UFC Fight Night: Edwards vs. Muhammad,2021-03-13,UFC Apex,0.0,Las Vegas,Nevada,U.S.,13,3,2021,Saturday
555,556,UFC on ESPN: Brunson vs. Holland,2021-03-20,UFC Apex,0.0,Las Vegas,Nevada,U.S.,20,3,2021,Saturday
556,557,UFC 260: Miocic vs. Ngannou 2,2021-03-27,UFC Apex,0.0,Las Vegas,Nevada,U.S.,27,3,2021,Saturday
557,558,UFC on ABC: Vettori vs. Holland,2021-04-10,UFC Apex,0.0,Las Vegas,Nevada,U.S.,10,4,2021,Saturday
558,559,UFC on ESPN: Whittaker vs. Gastelum,2021-04-17,UFC Apex,0.0,Las Vegas,Nevada,U.S.,17,4,2021,Saturday
559,560,UFC 261: Usman vs. Masvidal 2,2021-04-24,VyStar Veterans Memorial Arena,15269.0,Jacksonville,Florida,U.S.,24,4,2021,Saturday
560,561,UFC on ESPN: Reyes vs. Procházka,2021-05-01,UFC Apex,0.0,Las Vegas,Nevada,U.S.,1,5,2021,Saturday
561,562,UFC on ESPN: Rodriguez vs. Waterson,2021-05-08,UFC Apex,0.0,Las Vegas,Nevada,U.S.,8,5,2021,Saturday
562,563,UFC 262: Oliveira vs. Chandler,2021-05-15,Toyota Center,16005.0,Houston,Texas,U.S.,15,5,2021,Saturday
563,564,UFC Fight Night: Font vs. Garbrandt,2021-05-22,UFC Apex,0.0,Las Vegas,Nevada,U.S.,22,5,2021,Saturday
564,565,UFC Fight Night: Rozenstruik vs. Sakai,2021-06-05,UFC Apex,0.0,Las Vegas,Nevada,U.S.,5,6,2021,Saturday
565,566,UFC 263: Adesanya vs. Vettori 2,2021-06-12,Gila River Arena,17208.0,Glendale,Arizona,U.S.,12,6,2021,Saturday
566,567,UFC on ESPN: The Korean Zombie vs. Ige,2021-06-19,UFC Apex,0.0,Las Vegas,Nevada,U.S.,19,6,2021,Saturday
567,568,UFC Fight Night: Gane vs. Volkov,2021-06-26,UFC Apex,0.0,Las Vegas,Nevada,U.S.,26,6,2021,Saturday
568,569,UFC 264: Poirier vs. McGregor 3,2021-07-10,T-Mobile Arena,20062.0,Las Vegas,Nevada,U.S.,10,7,2021,Saturday
569,570,UFC on ESPN: Makhachev vs. Moisés,2021-07-17,UFC Apex,0.0,Las Vegas,Nevada,U.S.,17,7,2021,Saturday
570,571,UFC on ESPN: Sandhagen vs. Dillashaw,2021-07-24,UFC Apex,51.0,Las Vegas,Nevada,U.S.,24,7,2021,Saturday
571,572,UFC on ESPN: Hall vs. Strickland,2021-07-31,UFC Apex,,Las Vegas,Nevada,U.S.,31,7,2021,Saturday
572,573,UFC 265: Lewis vs. Gane,2021-08-07,Toyota Center,16604.0,Houston,Texas,U.S.,7,8,2021,Saturday
573,574,UFC on ESPN: Cannonier vs. Gastelum,2021-08-21,UFC Apex,,Las Vegas,Nevada,U.S.,21,8,2021,Saturday
574,575,UFC on ESPN: Barboza vs. Chikadze,2021-08-28,UFC Apex,,Las Vegas,Nevada,U.S.,28,8,2021,Saturday
575,576,UFC Fight Night: Brunson vs. Till,2021-09-04,UFC Apex,,Las Vegas,Nevada,U.S.,4,9,2021,Saturday
576,577,UFC Fight Night: Smith vs. Spann,2021-09-18,UFC Apex,,Las Vegas,Nevada,U.S.,18,9,2021,Saturday
577,578,UFC 266: Volkanovski vs. Ortega,2021-09-25,T-Mobile Arena,19029.0,Las Vegas,Nevada,U.S.,25,9,2021,Saturday
578,579,UFC Fight Night: Santos vs. Walker,2021-10-02,UFC Apex,,Las Vegas,Nevada,U.S.,2,10,2021,Saturday
579,580,UFC Fight Night: Dern vs. Rodriguez,2021-10-09,UFC Apex,,Las Vegas,Nevada,U.S.,9,10,2021,Saturday
580,581,UFC Fight Night: Ladd vs. Dumont,2021-10-16,UFC Apex,,Las Vegas,Nevada,U.S.,16,10,2021,Saturday
581,582,UFC Fight Night: Costa vs. Vettori,2021-10-23,UFC Apex,,Las Vegas,Nevada,U.S.,23,10,2021,Saturday
582,583,UFC 267: Błachowicz vs. Teixeira,2021-10-30,Etihad Arena,10171.0,Abu Dhabi,United Arab Emirates,,30,10,2021,Saturday
583,584,UFC 268: Usman vs. Covington 2,2021-11-06,Madison Square Garden,20715.0,New York City,New York,U.S.,6,11,2021,Saturday
584,585,UFC Fight Night: Holloway vs. Rodríguez,2021-11-13,UFC Apex,,Las Vegas,Nevada,U.S.,13,11,2021,Saturday
585,586,UFC Fight Night: Vieira vs. Tate,2021-11-20,UFC Apex,,Las Vegas,Nevada,U.S.,20,11,2021,Saturday
586,587,UFC on ESPN: Font vs. Aldo,2021-12-04,UFC Apex,,Las Vegas,Nevada,U.S.,4,12,2021,Saturday
587,588,UFC 269: Oliveira vs. Poirier,2021-12-11,T-Mobile Arena,18471.0,Las Vegas,Nevada,U.S.,11,12,2021,Saturday
588,589,UFC Fight Night: Lewis vs. Daukaus,2021-12-18,UFC Apex,,Las Vegas,Nevada,U.S.,18,12,2021,Saturday
589,590,UFC on ESPN: Kattar vs. Chikadze,2022-01-15,UFC Apex,,Las Vegas,Nevada,U.S.,15,1,2022,Saturday
590,591,UFC 270: Ngannou vs. Gane,2022-01-22,Honda Center,17387.0,Anaheim,California,U.S.,22,1,2022,Saturday
591,592,UFC Fight Night: Hermansson vs. Strickland,2022-02-05,UFC Apex,,Las Vegas,Nevada,U.S.,5,2,2022,Saturday
592,593,UFC 271: Adesanya vs. Whittaker 2,2022-02-12,Toyota Center,17872.0,Houston,Texas,U.S,12,2,2022,Saturday
593,594,UFC Fight Night: Walker vs. Hill,2022-02-19,UFC Apex,,Las Vegas,Nevada,U.S.,19,2,2022,Saturday
594,595,UFC Fight Night: Makhachev vs. Green,2022-02-26,UFC Apex,,Las Vegas,Nevada,U.S.,26,2,2022,Saturday
595,596,UFC 272: Covington vs. Masvidal,2022-03-05,T-Mobile Arena,19425.0,Las Vegas,Nevada,U.S.,5,3,2022,Saturday
596,597,UFC Fight Night: Santos vs. Ankalaev,2022-03-12,UFC Apex,,Las Vegas,Nevada,U.S.,12,3,2022,Saturday
597,598,UFC Fight Night: Volkov vs. Aspinall,2022-03-19,The O2 Arena,17081.0,London,England,U.K.,19,3,2022,Saturday
598,599,UFC on ESPN: Blaydes vs. Daukaus,2022-03-26,Nationwide Arena,18630.0,Columbus,Ohio,U.S.,26,3,2022,Saturday
599,600,UFC 273: Volkanovski vs. The Korean Zombie,2022-04-09,VyStar Veterans Memorial Arena,14605.0,Jacksonville,Florida,U.S.,9,4,2022,Saturday
600,601,UFC on ESPN: Luque vs. Muhammad 2,2022-04-16,UFC Apex,,Las Vegas,Nevada,U.S.,16,4,2022,Saturday
601,602,UFC Fight Night: Lemos vs. Andrade,2022-04-23,UFC Apex,,Las Vegas,Nevada,U.S.,23,4,2022,Saturday
602,603,UFC on ESPN: Font vs. Vera,2022-04-30,UFC Apex,,Las Vegas,Nevada,U.S.,30,4,2022,Saturday
603,604,UFC 274: Oliveira vs Gaethje,2022-05-07,Footprint Center,17232.0,Phoenix,Arizona,U.S.,7,5,2022,Saturday
604,605,UFC on ESPN: Błachowicz vs. Rakić,2022-05-14,UFC Apex,,Las Vegas,Nevada,U.S.,14,5,2022,Saturday
605,606,UFC Fight Night: Holm vs. Vieira,2022-05-21,UFC Apex,,Las Vegas,Nevada,U.S.,21,5,2022,Saturday
606,607,UFC Fight Night: Volkov vs. Rozenstruik,2022-06-04,UFC Apex,,Las Vegas,Nevada,U.S.,4,6,2022,Saturday
607,608,UFC 275: Teixeira vs. Procházka,2022-06-12,Singapore Indoor Stadium,10787.0,Kallang,Singapore,,12,6,2022,Sunday
608,609,UFC on ESPN: Kattar vs. Emmett,2022-06-18,Moody Center,13689.0,Austin,Texas,U.S.,18,6,2022,Saturday
609,610,UFC on ESPN: Tsarukyan vs. Gamrot,2022-06-25,UFC Apex,,Las Vegas,Nevada,U.S.,25,6,2022,Saturday
610,611,UFC 276: Adesanya vs. Cannonier,2022-07-02,T-Mobile Arena,19649.0,Las Vegas,Nevada,U.S.,2,7,2022,Saturday
611,612,UFC on ESPN: dos Anjos vs. Fiziev,2022-07-09,UFC Apex,,Las Vegas,Nevada,U.S.,9,7,2022,Saturday
612,613,UFC on ABC: Ortega vs. Rodríguez,2022-07-16,UBS Arena,16979.0,Elmont,New York,U.S.,16,7,2022,Saturday
613,614,UFC Fight Night: Blaydes vs. Aspinall,2022-07-23,The O2 Arena,17813.0,London,England,U.K.,23,7,2022,Saturday
614,615,UFC 277: Peña vs. Nunes 2,2022-07-30,American Airlines Center,19442.0,Dallas,Texas,U.S.,30,7,2022,Saturday
615,616,UFC on ESPN: Santos vs. Hill,2022-08-06,UFC Apex,,Las Vegas,Nevada,U.S.,6,8,2022,Saturday
616,617,UFC on ESPN: Vera vs. Cruz,2022-08-13,Pechanga Arena,12804.0,San Diego,California,U.S.,13,8,2022,Saturday
617,618,UFC 278: Usman vs. Edwards 2,2022-08-20,Vivint Arena,18321.0,Salt Lake City,Utah,U.S.,20,8,2022,Saturday
618,619,UFC Fight Night: Gane vs. Tuivasa,2022-09-03,Accor Arena,15405.0,Paris,France,,3,9,2022,Saturday
619,620,UFC 279: Diaz vs. Ferguson,2022-09-10,T-Mobile Arena,19125.0,Las Vegas,Nevada,U.S.,10,9,2022,Saturday
620,621,UFC Fight Night: Sandhagen vs. Song,2022-09-17,UFC Apex,,Las Vegas,Nevada,U.S.,17,9,2022,Saturday
621,622,UFC Fight Night: Dern vs. Yan,2022-10-01,UFC Apex,,Las Vegas,Nevada,U.S.,1,10,2022,Saturday
622,623,UFC Fight Night: Grasso vs. Araújo,2022-10-15,UFC Apex,,Las Vegas,Nevada,U.S.,15,10,2022,Saturday
623,624,UFC 280: Oliveira vs. Makhachev,2022-10-22,Etihad Arena,13400.0,Abu Dhabi,United Arab Emirates,,22,10,2022,Saturday
624,625,UFC Fight Night: Kattar vs. Allen,2022-10-29,UFC Apex,,Las Vegas,Nevada,U.S.,29,10,2022,Saturday
